id,info,description,weight,price,image_url
3343,Greatly raises attack power with successive attacks,"A talisman depicting a raised prosthetic blade.
An honor bestowed upon the valkyries who serve the Goddess of Rot.

Greatly raises attack power with successive attacks.

The four sisters were born in the Swamp of Aeonia, and came to the Haligtree under the aegis of Gowry. And yet, those buds were doomed to never blossom.",1.4,500,
3344,"Raises holy attack, but lowers damage negation","A talisman carried by assassins who strike unseen.
Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart with a blessed glow.

Raises holy attack power, but lowers damage negation.",0.8,500,https://eldenring.fanapis.com/images/talismans/17f69e49085l0i2sudupmymnf7is0e.png
3345,Will be lost on death in place of runes,"A talisman fashioned from a dried twig, so slender that it might snap at the slightest touch.

Prevents rune loss upon death, but will be lost itself in exchange.

Believed to be a twig pruned from the Erdtree long, long ago.",1,1000,https://eldenring.fanapis.com/images/talismans/17f6966d3a9l0i2suh41ayrux3telz.png
3346,Constantly attracts enemies' aggression,"Disturbing likeness of a man whose eyes have been gouged out.
The corners of his mouth are upturned in an almost flirtatious manner.

Constantly attracts enemies' aggression.

It is said that the man, named Shabriri, had his eyes gouged out as punishment for the crime of slander, and, with time, the blight of the flame of frenzy came to dwell in the empty sockets.",0.6,500,https://eldenring.fanapis.com/images/talismans/17f697d1dacl0i2sui3ut73lui72f.png
3347,Greatly boosts the attack power of skills,"Shard of the late Alexander, a shattered warrior jar.

Greatly boosts the attack power of skills.

Scraps of stewed flesh cling to the shard, and tatters of ornaments can be seen mingled within the slime. Relics of a red-haired champion, it would seem.",0.9,1000,
3348,Raises item discovery,"A talisman facsimile of a scarab, the carrier of treasures and precious things.

This silver scarab enhances item discovery.",1.2,500,
3349,Enhances counterattacks unique to thrusting weapons,"A talisman depicting a spear and a soldier.
Enhances the counterattacks that are unique to thrusting weapons.

Spears are standard weapons for soldiers in the Lands Between. They made it possible to respond to a ferocious foe with an equally ferocious counterattack.",0.5,500,https://eldenring.fanapis.com/images/talismans/17f69e13918l0i2syr0vvb0gg1l8xg.png
3350,Boosts magical damage negation,"Talisman depicting a blue ancient dragon.
Boosts magic damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections.",0.6,100,https://eldenring.fanapis.com/images/talismans/17f69b80630l0i2sum3q22drl273qe.png
3351,Greatly boosts magical damage negation,"Talisman depicting a duo of blue ancient dragons.
Greatly boosts magic damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections.",0.6,500,
3352,Vastly boosts magical damage negation,"Talisman depicting a trio of blue ancient dragons.
Vastly boosts magic damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections.",0.6,1000,
3353,Raises robustness,"An accoutrement worn by the ancestral followers.
Raises robustness.
(Robustness governs resistance to blood loss and frost.)

Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0.6,500,https://eldenring.fanapis.com/images/talismans/17f69990291l0i2swl19cw8v99d5tk.png
3354,Greatly raises robustness,"An accoutrement worn by the ancestral followers.
Greatly raises robustness.
(Robustness governs resistance to blood loss and frost.)

Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0.6,1000,
3355,Raises intelligence,"A talisman engraved with the legend of a queen.
Raises intelligence.

The young astrologer gazed at the night sky as she walked. She had always chased the stars every step of her journey. Then she met the full moon—and, in time, the astrologer became a queen.",0.6,1000,https://eldenring.fanapis.com/images/talismans/17f69726e74l0i2sunvmav2rtqj9e.png
3356,Raises strength,"A talisman engraved with a scene from a heroic tale.
Raises strength.

The mightiest hero of the demigods confronted the falling stars alone—and thus did he crush them, his conquest sealing the very fate of the stars.",0.8,1000,https://eldenring.fanapis.com/images/talismans/17f697e6e60l0i2sv6zgblnfuco5k5.png
3357,Restores HP upon defeating enemies,"A talisman engraved with a stern likeness of Praetor Rykard, master of Volcano Manor.

Restores HP upon defeating enemies.

When Rykard turned to heresy, taking by force became the rule. The gods themselves were no different, after all.",1,1000,https://eldenring.fanapis.com/images/talismans/17f69ebbca4l0i2suzy77ydy8c49x.png
3358,Enhances final hit of chain attacks,"A talisman depicting a twinblade and a confessor.
Enhances the final hit ending a chain of attacks.

The twinblade technique is a tradition of the confessors, who closely guard the secret of how they preserve the momentum of their attacks. Thus is the final strike of their onslaught all the more deadly.",0.7,500,https://eldenring.fanapis.com/images/talismans/17f6964b6cbl0i2suzpeqzc8p0p31a.png
3359,Raises faith,"A talisman engraved with the legend of the Two Fingers.
Raises faith.

Fingers cannot speak, yet these were eloquent.
Persistently did they wriggle, spelling out mysteries in the air.
Thus did we gain the words. The words of our faith.",0.6,1000,https://eldenring.fanapis.com/images/talismans/17f69b8ff63l0i2svfsqagao13n1q.png
3360,Raises maximum stamina,"A medallion with viridian amber inlaid.
Boosts maximum stamina.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside.",0.3,100,https://eldenring.fanapis.com/images/talismans/17f697609cfl0i2sv7ve0yxa2u67ps.png
3361,Greatly raises maximum stamina,"A medallion with viridian amber inlaid.
Greatly boosts maximum stamina.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside.",0.3,500,
3362,Vastly raises maximum stamina,"A medallion with viridian amber inlaid.
Vastly boosts maximum stamina.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside.",0.3,1000,
3363,Boosts the attack power of skills,"Shard of a shattered warrior jar.

Boosts the attack power of skills.

Scraps of stewed flesh cling to the shard, and tatters of ornaments can be seen mingled within the slime. Relics of ancient royal warriors, perhaps.",0.9,500,https://eldenring.fanapis.com/images/talismans/17f69f4710al0i2sy6gpkd85ki28.png
3364,Raises attack power with successive attacks,"A talisman depicting a raised prosthetic blade.
An honor bestowed upon the knights who fought alongside Malenia the Severed.

Raises attack power with successive attacks.

The wings symbolize Malenia and her undefeated prowess. Though she never knew relief from the accursed rot she was born into, her blade was forever beautiful—and relentless.",1.4,500,https://eldenring.fanapis.com/images/talismans/17f69a2445bl0i2svl6l9dei5cxhbd.png
